index,original_stem,original_input_name,original_target_name,original_caption_name,numbered_conditioning_name,numbered_target_name
000001,L112_0_crop019,L112_0_crop019.png,L112_0_crop019.png,L112_0_crop019.txt,conditioning_000001.png,target_000001.png
000002,L424_0_crop003,L424_0_crop003.png,L424_0_crop003.png,L424_0_crop003.txt,conditioning_000002.png,target_000002.png
000003,L1311_2_crop010,L1311_2_crop010.png,L1311_2_crop010.png,L1311_2_crop010.txt,conditioning_000003.png,target_000003.png
000004,L304_2_crop003,L304_2_crop003.png,L304_2_crop003.png,L304_2_crop003.txt,conditioning_000004.png,target_000004.png
000005,L424_0_crop010,L424_0_crop010.png,L424_0_crop010.png,L424_0_crop010.txt,conditioning_000005.png,target_000005.png
000006,L331_0_crop039,L331_0_crop039.png,L331_0_crop039.png,L331_0_crop039.txt,conditioning_000006.png,target_000006.png
000007,L201_2_crop009,L201_2_crop009.png,L201_2_crop009.png,L201_2_crop009.txt,conditioning_000007.png,target_000007.png
000008,L331_2_crop018,L331_2_crop018.png,L331_2_crop018.png,L331_2_crop018.txt,conditioning_000008.png,target_000008.png
000009,L232_0_crop029,L232_0_crop029.png,L232_0_crop029.png,L232_0_crop029.txt,conditioning_000009.png,target_000009.png
000010,L111_1_crop019,L111_1_crop019.png,L111_1_crop019.png,L111_1_crop019.txt,conditioning_000010.png,target_000010.png
000011,L3112_0_crop029,L3112_0_crop029.png,L3112_0_crop029.png,L3112_0_crop029.txt,conditioning_000011.png,target_000011.png
000012,L123_1_crop019,L123_1_crop019.png,L123_1_crop019.png,L123_1_crop019.txt,conditioning_000012.png,target_000012.png
000013,L311_1_crop015,L311_1_crop015.png,L311_1_crop015.png,L311_1_crop015.txt,conditioning_000013.png,target_000013.png
000014,L223_0_crop011,L223_0_crop011.png,L223_0_crop011.png,L223_0_crop011.txt,conditioning_000014.png,target_000014.png
000015,L321_0_crop030,L321_0_crop030.png,L321_0_crop030.png,L321_0_crop030.txt,conditioning_000015.png,target_000015.png
000016,L1311_0_crop022,L1311_0_crop022.png,L1311_0_crop022.png,L1311_0_crop022.txt,conditioning_000016.png,target_000016.png
000017,L211_0_crop011,L211_0_crop011.png,L211_0_crop011.png,L211_0_crop011.txt,conditioning_000017.png,target_000017.png
000018,L111_0_crop008,L111_0_crop008.png,L111_0_crop008.png,L111_0_crop008.txt,conditioning_000018.png,target_000018.png
000019,L123_1_crop006,L123_1_crop006.png,L123_1_crop006.png,L123_1_crop006.txt,conditioning_000019.png,target_000019.png
000020,L201_1_crop019,L201_1_crop019.png,L201_1_crop019.png,L201_1_crop019.txt,conditioning_000020.png,target_000020.png
000021,L303_1_crop029,L303_1_crop029.png,L303_1_crop029.png,L303_1_crop029.txt,conditioning_000021.png,target_000021.png
000022,L111_0_crop021,L111_0_crop021.png,L111_0_crop021.png,L111_0_crop021.txt,conditioning_000022.png,target_000022.png
